Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"406 ERB Street W Unit# 1, Waterloo, ON",Rental,3600,"1,320 SQFT",N/A,3,1
"28 DAYLILY Lane, Kitchener, ON",Rental,2500,"1,204 SQFT",N/A,3,2
"85 DUKE Street W Unit# 1501, Kitchener, ON",Rental,2099,630 SQFT,N/A,2,1
"G101 - 275 LARCH STREET, Waterloo, ON",Rental,2375,Not listed,N/A,2,1
"2 - 750 PARIS BOULEVARD, Waterloo, ON",Rental,1495,Not listed,N/A,1,1
"47 RED CLOVER Crescent, Kitchener, ON",Rental,3000,"1,650 SQFT",N/A,3,2
"1438 HIGHLAND Road Unit# 201, Kitchener, ON",Rental,2570,967 SQFT,N/A,2,2
"76 BRYBECK Crescent Unit# 204, Kitchener, ON",Rental,1999,900 SQFT,"$30,000",3,1
"1200 COURTLAND Avenue E Unit# 47, Kitchener, ON",Rental,1999,"1,000 SQFT","$1,466",2,1
"186 QUEEN Street N Unit# 3, Kitchener, ON",Rental,2095,"1,106 SQFT","$5,406",2,1
"109 WESTMOUNT Road Unit# 1, Waterloo, ON",Rental,3200,"1,556 SQFT",N/A,4,2
"C33 - 142 FOAMFLOWER PLACE, Waterloo, ON",Rental,2800,Not listed,N/A,3,2
"602 - 10 HIGHLAND CRESCENT, Kitchener, ON",Rental,2099,Not listed,N/A,1,1
"105 MOCCASIN Drive Unit# B, Waterloo, ON",Rental,1700,789 SQFT,"$4,874",2,1
"183 BROADACRE DRIVE, Kitchener, ON",Rental,3200,Not listed,N/A,3,4
"100 GARMENT Street Unit# 1104, Kitchener, ON",Rental,2200,647 SQFT,N/A,1,1
"61 MARSHALL Street Unit# B, Waterloo, ON",Rental,2600,"1,500 SQFT",N/A,3,2
"100 OLD CARRIAGE Drive Unit# A205, Kitchener, ON",Rental,2133,870 SQFT,N/A,2,1
"868 LAURELWOOD Drive, Waterloo, ON",Rental,3500,"2,187 SQFT","$4,517",4,4
"143 COACH HILL Drive Unit# LOWER, Kitchener, ON",Rental,1999,"1,005 SQFT","$3,704",3,1
"304 - 30 BRIDGE STREET W, Kitchener, ON",Rental,2300,Not listed,N/A,2,1
"108 FORESTWALK STREET, Kitchener, ON",Rental,2800,Not listed,N/A,3,3
"213 MAX BECKER Drive, Kitchener, ON",Rental,2800,"1,885 SQFT",N/A,3,3
"50 BRYAN Court Unit# 413, Kitchener, ON",Rental,2350,877 SQFT,"$3,068",2,2
"320 BISMARK DRIVE, Cambridge, ON",Rental,2900,"1,500 SQFT",N/A,3,3
"407 - 245 GREY SILO ROAD, Waterloo, ON",Rental,3200,Not listed,N/A,2,2
"275 LARCH Street Unit# B215, Waterloo, ON",Rental,1800,490 SQFT,"$1,811",1,1
"UNIT-44 - 420 LINDEN DRIVE, Cambridge, ON",Rental,2599,Not listed,N/A,3,2
"LL14 - 208 WOOLWICH STREET, Kitchener, ON",Rental,2199,Not listed,N/A,2,2
"1107 - 741 KING STREET W, Kitchener, ON",Rental,2100,Not listed,N/A,1,1
"924 ROBERT FERRIE DRIVE, Kitchener, ON",Rental,2900,Not listed,N/A,4,3
"280 LESTER Street Unit# 115, Waterloo, ON",Rental,4400,"1,600 SQFT",N/A,N/A,0
"102 WATERMILL STREET, Kitchener, ON",Rental,3890,Not listed,N/A,4,3
"53 RALGREEN CRESCENT, Kitchener, ON",Rental,2750,Not listed,N/A,3,2
"100 MARTINGLEN Crescent, Kitchener, ON",Rental,1999,"2,159 SQFT","$4,124",2,1
"15 WELLINGTON Street Unit# 405, Kitchener, ON",Rental,1800,525 SQFT,N/A,1,1
"529 FALCONRIDGE Crescent, Kitchener, ON",Rental,4300,"3,375 SQFT",N/A,4,4
"T201 - 62 BALSAM STREET, Waterloo, ON",Rental,4750,Not listed,N/A,7,3
"50 MILT SCHMIDT STREET, Kitchener, ON",Rental,3950,Not listed,N/A,5,4
"312 RM1 - 145 COLUMBIA STREET W, Waterloo, ON",Rental,1500,Not listed,N/A,3,2
"42 REGINA Street N, Waterloo, ON",Rental,4650,"1,044 SQFT","$4,161",5,2
"55 MEINZINGER Avenue Unit# 1, Kitchener, ON",Rental,1950,Not listed,"$6,581",2,1
"913 ROBERT FERRIE DRIVE, Kitchener, ON",Rental,3000,Not listed,N/A,4,3
"595 STRASBURG Road Unit# 412, Kitchener, ON",Rental,2150,716 SQFT,N/A,2,1
"595 STRASBURG Road Unit# 211, Kitchener, ON",Rental,2150,716 SQFT,N/A,2,1
"47 - 165 GREEN VALLEY DRIVE, Kitchener, ON",Rental,2500,Not listed,N/A,4,1
"155 CAROLINE Street S Unit# 1110, Waterloo, ON",Rental,2899,943 SQFT,N/A,3,2
"632 LINDEN DRIVE, Cambridge, ON",Rental,2650,Not listed,N/A,4,3
"1206 - 158 KING STREET N, Waterloo, ON",Rental,3000,Not listed,N/A,3,2
"212 ROYAL Street Unit# LOWER, Waterloo, ON",Rental,1600,"1,088 SQFT","$3,805",2,1
"171 KINZIE Avenue Unit# Lower, Kitchener, ON",Rental,1600,503 SQFT,N/A,1,1
"1108 - 255 KEATS WAY, Waterloo, ON",Rental,2600,Not listed,N/A,2,2
"212 WESTMEADOW Drive, Kitchener, ON",Rental,2850,"1,360 SQFT","$3,857",3,2
"614 - 257 HEMLOCK STREET, Waterloo, ON",Rental,1700,Not listed,N/A,1,1
"1801 BISCAYNE Drive, Cambridge, ON",Rental,2575,947 SQFT,"$3,600",2,1
"UPPER - 88 WELLINGTON STREET, Kitchener, ON",Rental,1900,Not listed,N/A,2,2
"142 FAIRWAY Road N Unit# UPPER, Kitchener, ON",Rental,2500,993 SQFT,N/A,3,1
"T101 - 62 BALSAM STREET, Waterloo, ON",Rental,3585,Not listed,N/A,5,3
"95 WANNAMAKER CRESCENT, Cambridge, ON",Rental,4600,Not listed,N/A,4,4
"464 HAZEL Street, Waterloo, ON",Rental,4500,"2,630 SQFT","$4,963",6,4
"142 FOAMFLOWER Place Unit# 08, Waterloo, ON",Rental,2700,"1,022 SQFT",N/A,2,2
"B - 99 NICKOLAS CRESCENT, Cambridge, ON",Rental,1847,Not listed,N/A,1,1
"99 NICKOLAS Crescent Unit# B, Cambridge, ON",Rental,1847,907 SQFT,N/A,1,1
"26 - 60 ELMSDALE DRIVE, Kitchener, ON",Rental,2500,Not listed,N/A,3,2
"60 SANDSPRINGS Crescent Unit# UPPER, Kitchener, ON",Rental,2400,900 SQFT,"$4,000",3,1
"324 MOUNTAIN LAUREL Crescent Unit# Upper, Kitchener, ON",Rental,2700,"1,417 SQFT","$4,213",3,2
"75 COTTON GRASS STREET, Kitchener, ON",Rental,3099,Not listed,N/A,3,3
"269 BROADACRE DRIVE, Kitchener, ON",Rental,3900,Not listed,N/A,4,4
"1405 KING STREET E, Cambridge, ON",Rental,2900,Not listed,N/A,3,2
"450 HESPELER Road Unit# G109, Cambridge, ON",Rental,32,"1,981 SQFT",$12,N/A,0
"281 CHAPEL HILL DRIVE, Kitchener, ON",Rental,2800,Not listed,N/A,3,3
"108 GARMENT Street Unit# 403, Kitchener, ON",Rental,1875,704 SQFT,N/A,1,1
"428 PROSPECT Avenue Unit# 4, Kitchener, ON",Rental,2175,778 SQFT,N/A,2,1
"128 KING STREET NORTH Street Unit# 703, Waterloo, ON",Rental,2000,685 SQFT,"$3,540",2,1
"318 SPRUCE Street Unit# 1501, Waterloo, ON",Rental,2100,703 SQFT,"$3,652",1,2
"1801 - 318 SPRUCE STREET, Waterloo, ON",Rental,2100,Not listed,N/A,2,2
"1941 OTTAWA Street S Unit# 15c, Kitchener, ON",Rental,3000,"1,461 SQFT",N/A,3,2
"11 OLYMPIC Drive Unit# 10, Kitchener, ON",Rental,2300,705 SQFT,N/A,3,1
"950 HIGHLAND Road W Unit# 1, Kitchener, ON",Rental,2400,"1,157 SQFT","$2,739",3,1
"37 SPORTSMAN HILL STREET, Kitchener, ON",Rental,2850,Not listed,N/A,4,3
"158 LAUREL Street Unit# 2, Cambridge, ON",Rental,2000,Not listed,"$4,079",2,1
"1200 COURTLAND Avenue E Unit# 34, Kitchener, ON",Rental,1899,"1,000 SQFT","$1,466",2,1
"460 HESPELER Road Unit# 103A, Cambridge, ON",Rental,35,"1,490 SQFT",$12,N/A,0
"460 HESPELER Road Unit# 103, Cambridge, ON",Rental,35,"2,712 SQFT",$12,N/A,0
"A-227 INVERHURON Crescent Unit# LOWER, Waterloo, ON",Rental,1850,788 SQFT,N/A,1,1
"283 FAIRWAY Road N Unit# 306, Kitchener, ON",Rental,2150,830 SQFT,N/A,2,1
"31 CROSSMORE CRESCENT, Cambridge, ON",Rental,3200,Not listed,N/A,3,3
"142 FOAMFLOWER Place Unit# 29, Waterloo, ON",Rental,2750,"1,091 SQFT",N/A,3,2
"UPPER - 139 MACGREGOR CRESCENT, Waterloo, ON",Rental,2700,Not listed,N/A,3,1
"609 LANCASTER Street W Unit# B, Kitchener, ON",Rental,2150,850 SQFT,N/A,2,1
"G309 - 275 LARCH STREET, Waterloo, ON",Rental,2600,Not listed,N/A,2,2
"402 - 271 LESTER STREET, Waterloo, ON",Rental,900,Not listed,N/A,5,2
"76 BRYBECK Crescent Unit# 302, Kitchener, ON",Rental,1899,900 SQFT,"$30,000",2,0
"259 RIDGE ROAD, Cambridge, ON",Rental,1950,Not listed,N/A,2,2
"161 OTTAWA Street Unit# 108, Kitchener, ON",Rental,1895,900 SQFT,N/A,1,1
"130 COLUMBIA Street W Unit# 711, Waterloo, ON",Rental,18,"1,060 SQFT",N/A,N/A,0
"E1 - 20 PALACE STREET, Kitchener, ON",Rental,1099,Not listed,N/A,1,1
"257 HEMLOCK Street Unit# 320, Waterloo, ON",Rental,1975,529 SQFT,N/A,1,1
"365 ALBERT Street Unit# 612, Waterloo, ON",Rental,18,"1,380 SQFT",N/A,N/A,0
"619 WILD GINGER Avenue Unit# D21, Waterloo, ON",Rental,3500,"2,100 SQFT",N/A,3,3
"BSMNT - 22 CASTLEBAY STREET, Kitchener, ON",Rental,1990,Not listed,N/A,2,1
"1438 HIGHLAND Road W Unit# 310, Kitchener, ON",Rental,2700,905 SQFT,N/A,3,2
"181 KING Street Unit# 128, Waterloo, ON",Rental,1500,250 SQFT,N/A,N/A,0
"188 KING Street S Unit# 205, Waterloo, ON",Rental,1900,556 SQFT,N/A,0,1
"120 STIRLING AVENUE N, Kitchener, ON",Rental,6500,Not listed,N/A,5,3
